# Radius 	finiterdf__LJ_LJ	rdf__LJ_LJ	
5.10495 0.76716	0.766156	
5.11404 0.762093	0.761062	
5.12313 0.760816	0.759754	
5.13222 0.762258	0.76116	
5.14131 0.773984	0.772837	
5.1504 0.785195	0.784001	
5.1595 0.780768	0.779549	
5.16859 0.781973	0.78072	
5.17768 0.79459	0.793286	
5.18677 0.785734	0.784413	
5.19586 0.797694	0.796322	
5.20495 0.800102	0.798696	
5.21405 0.801195	0.799756	
5.22314 0.803481	0.802008	
5.23223 0.80529	0.803784	
5.24132 0.805059	0.803524	
5.25041 0.827005	0.8254	
5.2595 0.82136	0.819737	
5.2686 0.827151	0.825489	
5.27769 0.832041	0.830342	
5.28678 0.838314	0.836575	
5.29587 0.848017	0.846233	
5.30496 0.847894	0.846085	
5.31405 0.845759	0.843928	
5.32315 0.844954	0.843099	
5.33224 0.858992	0.857081	
5.34133 0.856388	0.854459	
5.35042 0.870203	0.868219	
5.35951 0.875072	0.873055	
5.3686 0.880731	0.878679	
5.37769 0.875912	0.873849	
5.38679 0.900948	0.898808	
5.39588 0.903837	0.901672	
5.40497 0.89179	0.889634	
5.41406 0.898937	0.896745	
5.42315 0.903408	0.901187	
5.43224 0.903385	0.901146	
5.44134 0.914813	0.912529	
5.45043 0.924938	0.922613	
5.45952 0.937921	0.935551	
5.46861 0.934577	0.932202	
5.4777 0.940438	0.938036	
5.48679 0.945237	0.942811	
5.49589 0.946506	0.944066	
5.50498 0.950981	0.948519	
5.51407 0.959973	0.95748	
5.52316 0.956778	0.954284	
5.53225 0.964459	0.961936	
5.54134 0.969757	0.967214	
5.55044 0.974094	0.971534	
5.55953 0.981004	0.978421	
5.56862 0.964853	0.962305	
5.57771 0.986432	0.983823	
5.5868 0.991547	0.988922	
5.59589 0.998435	0.995791	
5.60499 0.999171	0.996524	
5.61408 1.00763	1.00497	
5.62317 1.00994	1.00727	
5.63226 1.02345	1.02075	
5.64135 1.02408	1.02138	
5.65044 1.03841	1.03568	
5.65954 1.03235	1.02964	
5.66863 1.03825	1.03554	
5.67772 1.03109	1.02841	
5.68681 1.04387	1.04115	
5.6959 1.05078	1.04806	
5.70499 1.04367	1.04098	
5.71408 1.06492	1.06218	
5.72318 1.0677	1.06498	
5.73227 1.06656	1.06386	
5.74136 1.06883	1.06614	
5.75045 1.07674	1.07404	
5.75954 1.0782	1.07552	
5.76863 1.08145	1.07878	
5.77773 1.09225	1.08958	
5.78682 1.0916	1.08895	
5.79591 1.09625	1.09362	
5.805 1.08854	1.08595	
5.81409 1.11236	1.10974	
5.82318 1.11976	1.11715	
5.83228 1.11961	1.11703	
5.84137 1.11855	1.11601	
5.85046 1.1278	1.12528	
5.85955 1.12467	1.12218	
5.86864 1.13486	1.13238	
5.87773 1.14202	1.13957	
5.88683 1.1402	1.13779	
5.89592 1.136	1.13364	
5.90501 1.15388	1.15152	
5.9141 1.14595	1.14365	
5.92319 1.15479	1.15252	
5.93228 1.1645	1.16226	
5.94138 1.15384	1.15166	
5.95047 1.16105	1.1589	
5.95956 1.17028	1.16817	
5.96865 1.16717	1.16511	
