# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdff[1] c_rdff[2] c_rdff[3]
100000 2000
463 1.85 0 0
464 1.854 0 0
465 1.858 0 0
466 1.862 0 0
467 1.866 0 0
468 1.87 0 0
469 1.874 0 0
470 1.878 0 0
471 1.882 0 0
472 1.886 0 0
473 1.89 0 0
474 1.894 0 0
475 1.898 0 0
476 1.902 0 0
477 1.906 0 0
478 1.91 0 0
479 1.914 0 0
480 1.918 0 0
481 1.922 0 0
482 1.926 0 0
483 1.93 0 0
484 1.934 0 0
485 1.938 0 0
486 1.942 0 0
487 1.946 0 0
488 1.95 0 0
489 1.954 0 0
490 1.958 0 0
491 1.962 0 0
492 1.966 0 0
493 1.97 0 0
494 1.974 0 0
495 1.978 0 0
496 1.982 0 0
497 1.986 0 0
498 1.99 0 0
499 1.994 0 0
500 1.998 0 0
501 2.002 0 0
502 2.006 0 0
503 2.01 0 0
504 2.014 0 0
505 2.018 0 0
506 2.022 0 0
507 2.026 0 0
508 2.03 0 0
509 2.034 0 0
510 2.038 0 0
511 2.042 0 0
512 2.046 0 0
513 2.05 0 0
514 2.054 0 0
515 2.058 0 0
516 2.062 0 0
517 2.066 0 0
518 2.07 0 0
519 2.074 0 0
520 2.078 0 0
521 2.082 0 0
522 2.086 0 0
523 2.09 0 0
524 2.094 0 0
525 2.098 0 0
526 2.102 0 0
527 2.106 0 0
528 2.11 0 0
529 2.114 0 0
530 2.118 0 0
531 2.122 0 0
532 2.126 0 0
533 2.13 0 0
534 2.134 0 0
535 2.138 0 0
536 2.142 0 0
537 2.146 0 0
538 2.15 0 0
539 2.154 0 0
540 2.158 0 0
541 2.162 0 0
542 2.166 0 0
543 2.17 0 0
544 2.174 0 0
545 2.178 0 0
546 2.182 0 0
547 2.186 0 0
548 2.19 0 0
549 2.194 0 0
550 2.198 0 0
551 2.202 0 0
552 2.206 0 0
553 2.21 0 0
554 2.214 0 0
555 2.218 0 0
556 2.222 0 0
557 2.226 0 0
558 2.23 0 0
559 2.234 0 0
560 2.238 0 0
561 2.242 0 0
562 2.246 0 0
563 2.25 0 0
564 2.254 0 0
565 2.258 0 0
566 2.262 0 0
567 2.266 0 0
568 2.27 0 0
569 2.274 0 0
570 2.278 0 0
571 2.282 0 0
572 2.286 0 0
573 2.29 0 0
574 2.294 0 0
575 2.298 0 0
576 2.302 0 0
577 2.306 0 0
578 2.31 0 0
579 2.314 0 0
580 2.318 0 0
581 2.322 0 0
582 2.326 0 0
583 2.33 0 0
584 2.334 0 0
585 2.338 0 0
586 2.342 0 0
587 2.346 0 0
588 2.35 0 0
589 2.354 0 0
590 2.358 0 0
591 2.362 0 0
592 2.366 0 0
593 2.37 0 0
594 2.374 0 0
595 2.378 0 0
596 2.382 0 0
597 2.386 0 0
598 2.39 0 0
599 2.394 0 0
600 2.398 0 0
601 2.402 0 0
602 2.406 0 0
603 2.41 0 0
604 2.414 0 0
605 2.418 0 0
606 2.422 0 0
607 2.426 0 0
608 2.43 0 0
609 2.434 0 0
610 2.438 0 0
611 2.442 0 0
612 2.446 0 0
613 2.45 0 0
614 2.454 0 0
615 2.458 0 0
616 2.462 0 0
617 2.466 0 0
618 2.47 0 0
619 2.474 0 0
620 2.478 0 0
621 2.482 0 0
622 2.486 0 0
623 2.49 0 0
624 2.494 0 0
625 2.498 0 0
626 2.502 0 0
627 2.506 0 0
628 2.51 0 0
629 2.514 0 0
630 2.518 0 0
631 2.522 0 0
632 2.526 0 0
633 2.53 0 0
634 2.534 0 0
635 2.538 0 0
636 2.542 0 0
637 2.546 0 0
638 2.55 0 0
639 2.554 0 0
640 2.558 0 0
641 2.562 0 0
642 2.566 0 0
643 2.57 0 0
644 2.574 0 0
645 2.578 0 0
646 2.582 0 0
647 2.586 0 0
648 2.59 0 0
649 2.594 0 0
650 2.598 0 0
651 2.602 0 0
652 2.606 0 0
653 2.61 0 0
654 2.614 0 0
655 2.618 0 0
656 2.622 0 0
657 2.626 0 0
658 2.63 0 0
659 2.634 0 0
660 2.638 0.00233142 0.00233142
661 2.642 0.00345201 0.00578344
662 2.646 0.00563916 0.0114226
663 2.65 0.00670586 0.0181285
664 2.654 0.00776849 0.0258969
665 2.658 0.011405 0.037302
666 2.662 0.0119043 0.0492063
667 2.666 0.0144678 0.0636742
668 2.67 0.0183693 0.0820435
669 2.674 0.0212089 0.103252
670 2.678 0.0244888 0.127741
671 2.682 0.0257641 0.153505
672 2.686 0.0322137 0.185719
673 2.69 0.0352929 0.221012
674 2.694 0.0390583 0.26007
675 2.698 0.0450631 0.305133
676 2.702 0.0478829 0.353016
677 2.706 0.0535311 0.406547
678 2.71 0.055551 0.462098
679 2.714 0.0600577 0.522156
680 2.718 0.0638969 0.586053
681 2.722 0.0700266 0.65608
682 2.726 0.0755411 0.731621
683 2.73 0.0837599 0.815381
684 2.734 0.095338 0.910719
685 2.738 0.106597 1.01732
686 2.742 0.121081 1.1384
687 2.746 0.135732 1.27413
688 2.75 0.145437 1.41957
689 2.754 0.156247 1.57581
690 2.758 0.168281 1.74409
691 2.762 0.178085 1.92218
692 2.766 0.189428 2.11161
693 2.77 0.199288 2.31089
